trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2022,False,"{'a': 0.5, 'e': 0.16205815932479864}",25,15,15.956832615028063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2023,False,"{'a': 0.5, 'e': 0.1619123725952752}",30,16,26.38408361868465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2024,False,"{'a': 0.5, 'e': 0.16176671701478243}",20,13,12.576496206177028,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2025,False,"{'a': 0.5, 'e': 0.16162119246533926}",20,8,7.659738254899564,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2026,False,"{'a': 0.5, 'e': 0.16147579882907084}",25,7,-5.005252577302758,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
2027,False,"{'a': 0.5, 'e': 0.1613305359882083}",20,3,-7.755521423752953,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
2028,False,"{'a': 0.5, 'e': 0.16118540382508875}",25,0,-38.41283514452323,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
2029,False,"{'a': 0.5, 'e': 0.16104040222215507}",20,0,23.2422223935031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2030,False,"{'a': 0.5, 'e': 0.16089553106195606}",25,0,17.07750078329983,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
2031,False,"{'a': 0.5, 'e': 0.16075079022714597}",25,0,29.746915764839954,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2032,False,"{'a': 0.5, 'e': 0.16060617960048473}",25,0,-26.331436765926668,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
2033,False,"{'a': 0.5, 'e': 0.1604616990648378}",25,10,-51.84553817961971,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
2034,False,"{'a': 0.5, 'e': 0.16031734850317583}",20,0,20.050652217397637,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2035,False,"{'a': 0.5, 'e': 0.16017312779857495}",20,6,-63.849540016117665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
2036,False,"{'a': 0.5, 'e': 0.16002903683421632}",20,12,15.04098060513939,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2037,False,"{'a': 0.5, 'e': 0.15988507549338632}",30,0,19.891225550921487,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
2038,False,"{'a': 0.5, 'e': 0.15974124365947615}",20,12,11.677451388503064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2039,False,"{'a': 0.5, 'e': 0.15959754121598213}",25,16,6.500647465239662,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2040,False,"{'a': 0.5, 'e': 0.15945396804650522}",20,0,25.07282013430921,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2041,False,"{'a': 0.5, 'e': 0.1593105240347511}",25,17,-29.71814312081491,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2042,False,"{'a': 0.5, 'e': 0.1591672090645302}",20,13,11.114848818063356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2043,False,"{'a': 0.5, 'e': 0.1590240230197573}",30,3,25.70460573632928,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
2044,False,"{'a': 0.5, 'e': 0.1588809657844518}",30,3,22.359700314328908,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
2045,False,"{'a': 0.5, 'e': 0.15873803724273722}",20,15,12.143628586645944,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2046,False,"{'a': 0.5, 'e': 0.1585952372788415}",25,16,5.195717162491238,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2047,False,"{'a': 0.5, 'e': 0.15845256577709665}",20,0,28.75769914774852,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2048,False,"{'a': 0.5, 'e': 0.15831002262193877}",25,0,-19.327399772538545,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2049,False,"{'a': 0.5, 'e': 0.15816760769790786}",30,0,30.310337724207795,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
2050,False,"{'a': 0.5, 'e': 0.1580253208896478}",20,13,0.9569986658702936,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2051,False,"{'a': 0.5, 'e': 0.15788316208190634}",25,0,6.553352977348381,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
2052,False,"{'a': 0.5, 'e': 0.15774113115953475}",20,0,-1.8593119598096217,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
2053,False,"{'a': 0.5, 'e': 0.15759922800748807}",20,16,6.7494662107337104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2054,False,"{'a': 0.5, 'e': 0.15745745251082466}",20,0,-22.94314737639612,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2055,False,"{'a': 0.5, 'e': 0.15731580455470642}",20,6,-4.19165801237394,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2056,False,"{'a': 0.5, 'e': 0.15717428402439843}",25,11,4.71902116720075,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
2057,False,"{'a': 0.5, 'e': 0.15703289080526914}",20,1,15.630641342993153,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2058,False,"{'a': 0.5, 'e': 0.15689162478278998}",20,5,11.15156072504311,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2059,False,"{'a': 0.5, 'e': 0.15675048584253545}",25,2,-14.091884292036383,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
